recipe,pair,rank
Caption Distance FGW,canonical,75
Caption Distance FGW,canonical,240
Caption Distance FGW,canonical,243
Caption Distance FGW,canonical,123
Caption Distance FGW,canonical,12
Caption Distance FGW,canonical,344
Caption Distance FGW,canonical,321
Caption Distance FGW,canonical,29
Caption Distance FGW,canonical,32
Caption Distance FGW,canonical,10
Caption Distance FGW,canonical,123
Caption Distance FGW,canonical,1
Caption Distance FGW,canonical,251
Caption Distance FGW,canonical,235
Caption Distance FGW,canonical,352
Caption Distance FGW,canonical,1
Caption Distance FGW,canonical,38
Caption Distance FGW,canonical,60
Caption Distance FGW,canonical,2
Caption Distance FGW,canonical,147
Caption Distance FGW,canonical,7
Caption Distance FGW,canonical,192
Caption Distance FGW,canonical,5
Caption Distance FGW,canonical,28
Caption Distance FGW,canonical,30
Caption Distance FGW,canonical,1
Caption Distance FGW,canonical,96
Caption Distance FGW,canonical,49
Caption Distance FGW,canonical,11
Caption Distance FGW,canonical,7
Caption Distance FGW,canonical,51
Caption Distance FGW,canonical,46
Caption Distance FGW,canonical,125
Caption Distance FGW,canonical,11
Caption Distance FGW,canonical,3
Caption Distance FGW,canonical,29
Caption Distance FGW,canonical,29
Caption Distance FGW,canonical,62
Caption Distance FGW,canonical,1
Caption Distance FGW,canonical,171
Caption Distance FGW,canonical,157
Caption Distance FGW,canonical,41
Caption Distance FGW,canonical,1
Caption Distance FGW,canonical,149
Caption Distance FGW,canonical,8
Caption Distance FGW,canonical,102
Caption Distance FGW,canonical,36
Caption Distance FGW,canonical,7
Caption Distance FGW,canonical,25
Caption Distance FGW,canonical,115
Caption Distance FGW,canonical,4
Caption Distance FGW,canonical,2
Caption Distance FGW,canonical,269
Caption Distance FGW,canonical,339
Caption Distance FGW,canonical,39
Caption Distance FGW,canonical,7
Caption Distance FGW,canonical,34
Caption Distance FGW,canonical,4
Caption Distance FGW,canonical,66
Caption Distance FGW,canonical,68
Caption Distance FGW,canonical,5
Caption Distance FGW,canonical,13
Caption Distance FGW,canonical,32
Caption Distance FGW,canonical,12
Caption Distance FGW,canonical,113
Caption Distance FGW,canonical,24
Caption Distance FGW,canonical,13
Caption Distance FGW,canonical,40
Caption Distance FGW,canonical,36
Caption Distance FGW,canonical,58
Caption Distance FGW,canonical,122
Caption Distance FGW,canonical,6
Caption Distance FGW,canonical,3
Caption Distance FGW,canonical,135
Caption Distance FGW,canonical,9
Caption Distance FGW,canonical,113
Caption Distance FGW,canonical,83
Caption Distance FGW,canonical,12
Caption Distance FGW,canonical,193
Caption Distance FGW,canonical,287
Caption Distance FGW,canonical,198
Caption Distance FGW,canonical,19
Caption Distance FGW,canonical,136
Caption Distance FGW,canonical,27
Caption Distance FGW,canonical,2
Caption Distance FGW,canonical,6
Caption Distance FGW,canonical,13
Caption Distance FGW,canonical,13
Caption Distance FGW,canonical,71
Caption Distance FGW,canonical,164
Caption Distance FGW,canonical,15
Caption Distance FGW,canonical,4
Caption Distance FGW,canonical,19
Caption Distance FGW,canonical,5
Caption Distance FGW,canonical,41
Caption Distance FGW,canonical,57
Caption Distance FGW,canonical,1
Caption Distance FGW,canonical,266
Caption Distance FGW,canonical,2
Caption Distance FGW,canonical,21
Caption Distance FGW,canonical,30
Caption Distance FGW,canonical,85
Caption Distance FGW,canonical,238
Caption Distance FGW,canonical,24
Caption Distance FGW,canonical,32
Caption Distance FGW,canonical,92
Caption Distance FGW,canonical,119
Caption Distance FGW,canonical,285
Caption Distance FGW,canonical,30
Caption Distance FGW,canonical,143
Caption Distance FGW,canonical,1
Caption Distance FGW,canonical,229
Caption Distance FGW,canonical,4
Caption Distance FGW,canonical,12
Caption Distance FGW,canonical,37
Caption Distance FGW,canonical,163
Caption Distance FGW,canonical,7
Caption Distance FGW,canonical,2
Caption Distance FGW,canonical,50
Caption Distance FGW,canonical,22
Caption Distance FGW,canonical,54
Caption Distance FGW,canonical,124
Caption Distance FGW,canonical,142
Caption Distance FGW,canonical,26
Caption Distance FGW,canonical,108
Caption Distance FGW,canonical,22
Caption Distance FGW,canonical,45
Caption Distance FGW,canonical,202
Caption Distance FGW,canonical,5
Caption Distance FGW,canonical,3
Caption Distance FGW,canonical,167
Caption Distance FGW,canonical,104
Caption Distance FGW,canonical,3
Caption Distance FGW,canonical,228
Caption Distance FGW,canonical,11
Caption Distance FGW,canonical,154
Caption Distance FGW,canonical,1
Caption Distance FGW,canonical,80
Caption Distance FGW,canonical,241
Caption Distance FGW,canonical,59
Caption Distance FGW,canonical,149
Caption Distance FGW,canonical,26
Caption Distance FGW,canonical,96
Caption Distance FGW,canonical,98
Caption Distance FGW,canonical,1
Caption Distance FGW,canonical,38
Caption Distance FGW,canonical,5
Caption Distance FGW,canonical,20
Caption Distance FGW,canonical,266
Caption Distance FGW,canonical,54
Caption Distance FGW,canonical,47
Caption Distance FGW,canonical,55
Caption Distance FGW,canonical,27
Caption Distance FGW,canonical,15
Caption Distance FGW,canonical,256
Caption Distance FGW,canonical,31
Caption Distance FGW,canonical,3
Caption Distance FGW,canonical,12
Caption Distance FGW,canonical,19
Caption Distance FGW,canonical,98
Caption Distance FGW,canonical,16
Caption Distance FGW,canonical,35
Caption Distance FGW,canonical,67
Caption Distance FGW,canonical,10
Caption Distance FGW,canonical,1
Caption Distance FGW,canonical,17
Caption Distance FGW,canonical,1
Caption Distance FGW,canonical,6
Caption Distance FGW,canonical,4
Caption Distance FGW,canonical,1
Caption Distance FGW,canonical,136
Caption Distance FGW,canonical,60
Caption Distance FGW,canonical,11
Caption Distance FGW,canonical,290
Caption Distance FGW,canonical,92
Caption Distance FGW,canonical,1
Caption Distance FGW,canonical,111
Caption Distance FGW,canonical,253
Caption Distance FGW,canonical,12
Caption Distance FGW,canonical,39
Caption Distance FGW,canonical,20
Caption Distance FGW,canonical,76
Caption Distance FGW,canonical,6
Caption Distance FGW,canonical,57
Caption Distance FGW,canonical,80
Caption Distance FGW,canonical,147
Caption Distance FGW,canonical,42
Caption Distance FGW,canonical,166
Caption Distance FGW,canonical,1
Caption Distance FGW,canonical,5
Caption Distance FGW,canonical,11
Caption Distance FGW,canonical,244
Caption Distance FGW,canonical,29
Caption Distance FGW,canonical,23
Caption Distance FGW,canonical,1
Caption Distance FGW,canonical,4
Caption Distance FGW,canonical,51
Caption Distance FGW,canonical,18
Caption Distance FGW,canonical,9
Caption Distance FGW,canonical,35
Caption Distance FGW,canonical,1
Caption Distance FGW,canonical,1
Caption Distance FGW,canonical,10
Caption Distance FGW,canonical,30
Caption Distance FGW,canonical,53
Caption Distance FGW,canonical,37
Caption Distance FGW,canonical,85
Caption Distance FGW,canonical,59
Caption Distance FGW,canonical,4
Caption Distance FGW,canonical,209
Caption Distance FGW,canonical,27
Caption Distance FGW,canonical,122
Caption Distance FGW,canonical,111
Caption Distance FGW,canonical,5
Caption Distance FGW,canonical,30
Caption Distance FGW,canonical,34
Caption Distance FGW,canonical,74
Caption Distance FGW,canonical,226
Caption Distance FGW,canonical,277
Caption Distance FGW,canonical,180
Caption Distance FGW,canonical,21
Caption Distance FGW,canonical,32
Caption Distance FGW,canonical,10
Caption Distance FGW,canonical,104
Caption Distance FGW,canonical,4
Caption Distance FGW,canonical,22
Caption Distance FGW,canonical,1
Caption Distance FGW,canonical,6
Caption Distance FGW,canonical,2
Caption Distance FGW,canonical,72
Caption Distance FGW,canonical,59
Caption Distance FGW,canonical,119
Caption Distance FGW,canonical,190
Caption Distance FGW,canonical,17
Caption Distance FGW,canonical,89
Caption Distance FGW,canonical,191
Caption Distance FGW,canonical,9
Caption Distance FGW,canonical,280
Caption Distance FGW,canonical,80
Caption Distance FGW,canonical,85
Caption Distance FGW,canonical,142
Caption Distance FGW,canonical,25
Caption Distance FGW,canonical,97
Caption Distance FGW,canonical,12
Caption Distance FGW,canonical,25
Caption Distance FGW,canonical,19
Caption Distance FGW,canonical,26
Caption Distance FGW,canonical,173
Caption Distance FGW,canonical,126
Caption Distance FGW,canonical,81
Caption Distance FGW,canonical,36
Caption Distance FGW,canonical,40
Caption Distance FGW,canonical,61
Caption Distance FGW,canonical,1
Caption Distance FGW,canonical,24
Caption Distance FGW,canonical,42
Caption Distance FGW,canonical,31
Caption Distance FGW,canonical,288
Caption Distance FGW,canonical,99
Caption Distance FGW,canonical,99
Caption Distance FGW,canonical,9
Caption Distance FGW,canonical,81
Caption Distance FGW,canonical,1
Caption Distance FGW,canonical,400
Caption Distance FGW,canonical,305
Caption Distance FGW,canonical,102
Caption Distance FGW,canonical,61
Caption Distance FGW,canonical,29
Caption Distance FGW,canonical,4
Caption Distance FGW,canonical,4
Caption Distance FGW,canonical,155
Caption Distance FGW,canonical,22
Caption Distance FGW,canonical,165
Caption Distance FGW,canonical,178
Caption Distance FGW,canonical,39
Caption Distance FGW,canonical,155
Caption Distance FGW,canonical,3
Caption Distance FGW,canonical,114
Caption Distance FGW,canonical,2
Caption Distance FGW,canonical,123
Caption Distance FGW,canonical,160
Caption Distance FGW,canonical,99
Caption Distance FGW,canonical,119
Caption Distance FGW,canonical,2
Caption Distance FGW,canonical,119
Caption Distance FGW,canonical,13
Caption Distance FGW,canonical,102
Caption Distance FGW,canonical,13
Caption Distance FGW,canonical,17
Caption Distance FGW,canonical,236
Caption Distance FGW,canonical,101
Caption Distance FGW,canonical,94
Caption Distance FGW,canonical,25
Caption Distance FGW,canonical,213
Caption Distance FGW,canonical,295
Caption Distance FGW,canonical,2
Caption Distance FGW,canonical,1
Caption Distance FGW,canonical,74
Caption Distance FGW,canonical,138
Caption Distance FGW,canonical,195
Caption Distance FGW,canonical,134
Caption Distance FGW,canonical,151
GW (intra-modal geometry),canonical,109
GW (intra-modal geometry),canonical,86
GW (intra-modal geometry),canonical,352
GW (intra-modal geometry),canonical,285
GW (intra-modal geometry),canonical,210
GW (intra-modal geometry),canonical,148
GW (intra-modal geometry),canonical,313
GW (intra-modal geometry),canonical,146
GW (intra-modal geometry),canonical,268
GW (intra-modal geometry),canonical,138
GW (intra-modal geometry),canonical,95
GW (intra-modal geometry),canonical,375
GW (intra-modal geometry),canonical,399
GW (intra-modal geometry),canonical,311
GW (intra-modal geometry),canonical,242
GW (intra-modal geometry),canonical,151
GW (intra-modal geometry),canonical,84
GW (intra-modal geometry),canonical,57
GW (intra-modal geometry),canonical,185
GW (intra-modal geometry),canonical,195
GW (intra-modal geometry),canonical,184
GW (intra-modal geometry),canonical,75
GW (intra-modal geometry),canonical,251
GW (intra-modal geometry),canonical,279
GW (intra-modal geometry),canonical,245
GW (intra-modal geometry),canonical,205
GW (intra-modal geometry),canonical,132
GW (intra-modal geometry),canonical,55
GW (intra-modal geometry),canonical,84
GW (intra-modal geometry),canonical,25
GW (intra-modal geometry),canonical,314
GW (intra-modal geometry),canonical,6
GW (intra-modal geometry),canonical,230
GW (intra-modal geometry),canonical,79
GW (intra-modal geometry),canonical,109
GW (intra-modal geometry),canonical,33
GW (intra-modal geometry),canonical,88
GW (intra-modal geometry),canonical,166
GW (intra-modal geometry),canonical,147
GW (intra-modal geometry),canonical,360
GW (intra-modal geometry),canonical,116
GW (intra-modal geometry),canonical,213
GW (intra-modal geometry),canonical,161
GW (intra-modal geometry),canonical,196
GW (intra-modal geometry),canonical,393
GW (intra-modal geometry),canonical,178
GW (intra-modal geometry),canonical,248
GW (intra-modal geometry),canonical,97
GW (intra-modal geometry),canonical,252
GW (intra-modal geometry),canonical,208
GW (intra-modal geometry),canonical,84
GW (intra-modal geometry),canonical,4
GW (intra-modal geometry),canonical,101
GW (intra-modal geometry),canonical,368
GW (intra-modal geometry),canonical,142
GW (intra-modal geometry),canonical,126
GW (intra-modal geometry),canonical,230
GW (intra-modal geometry),canonical,61
GW (intra-modal geometry),canonical,2
GW (intra-modal geometry),canonical,367
GW (intra-modal geometry),canonical,91
GW (intra-modal geometry),canonical,29
GW (intra-modal geometry),canonical,224
GW (intra-modal geometry),canonical,142
GW (intra-modal geometry),canonical,301
GW (intra-modal geometry),canonical,270
GW (intra-modal geometry),canonical,233
GW (intra-modal geometry),canonical,193
GW (intra-modal geometry),canonical,59
GW (intra-modal geometry),canonical,144
GW (intra-modal geometry),canonical,272
GW (intra-modal geometry),canonical,82
GW (intra-modal geometry),canonical,312
GW (intra-modal geometry),canonical,121
GW (intra-modal geometry),canonical,308
GW (intra-modal geometry),canonical,342
GW (intra-modal geometry),canonical,205
GW (intra-modal geometry),canonical,240
GW (intra-modal geometry),canonical,90
GW (intra-modal geometry),canonical,291
GW (intra-modal geometry),canonical,176
GW (intra-modal geometry),canonical,182
GW (intra-modal geometry),canonical,123
GW (intra-modal geometry),canonical,103
GW (intra-modal geometry),canonical,95
GW (intra-modal geometry),canonical,312
GW (intra-modal geometry),canonical,98
GW (intra-modal geometry),canonical,173
GW (intra-modal geometry),canonical,273
GW (intra-modal geometry),canonical,187
GW (intra-modal geometry),canonical,238
GW (intra-modal geometry),canonical,392
GW (intra-modal geometry),canonical,279
GW (intra-modal geometry),canonical,274
GW (intra-modal geometry),canonical,13
GW (intra-modal geometry),canonical,328
GW (intra-modal geometry),canonical,198
GW (intra-modal geometry),canonical,246
GW (intra-modal geometry),canonical,103
GW (intra-modal geometry),canonical,237
GW (intra-modal geometry),canonical,76
GW (intra-modal geometry),canonical,28
GW (intra-modal geometry),canonical,8
GW (intra-modal geometry),canonical,95
GW (intra-modal geometry),canonical,376
GW (intra-modal geometry),canonical,252
GW (intra-modal geometry),canonical,64
GW (intra-modal geometry),canonical,70
GW (intra-modal geometry),canonical,13
GW (intra-modal geometry),canonical,33
GW (intra-modal geometry),canonical,27
GW (intra-modal geometry),canonical,127
GW (intra-modal geometry),canonical,251
GW (intra-modal geometry),canonical,20
GW (intra-modal geometry),canonical,302
GW (intra-modal geometry),canonical,267
GW (intra-modal geometry),canonical,351
GW (intra-modal geometry),canonical,253
GW (intra-modal geometry),canonical,214
GW (intra-modal geometry),canonical,180
GW (intra-modal geometry),canonical,62
GW (intra-modal geometry),canonical,292
GW (intra-modal geometry),canonical,320
GW (intra-modal geometry),canonical,272
GW (intra-modal geometry),canonical,127
GW (intra-modal geometry),canonical,4
GW (intra-modal geometry),canonical,311
GW (intra-modal geometry),canonical,65
GW (intra-modal geometry),canonical,244
GW (intra-modal geometry),canonical,116
GW (intra-modal geometry),canonical,303
GW (intra-modal geometry),canonical,289
GW (intra-modal geometry),canonical,377
GW (intra-modal geometry),canonical,76
GW (intra-modal geometry),canonical,171
GW (intra-modal geometry),canonical,343
GW (intra-modal geometry),canonical,57
GW (intra-modal geometry),canonical,290
GW (intra-modal geometry),canonical,20
GW (intra-modal geometry),canonical,84
GW (intra-modal geometry),canonical,38
GW (intra-modal geometry),canonical,341
GW (intra-modal geometry),canonical,231
GW (intra-modal geometry),canonical,307
GW (intra-modal geometry),canonical,172
GW (intra-modal geometry),canonical,140
GW (intra-modal geometry),canonical,18
GW (intra-modal geometry),canonical,40
GW (intra-modal geometry),canonical,16
GW (intra-modal geometry),canonical,31
GW (intra-modal geometry),canonical,163
GW (intra-modal geometry),canonical,92
GW (intra-modal geometry),canonical,205
GW (intra-modal geometry),canonical,115
GW (intra-modal geometry),canonical,171
GW (intra-modal geometry),canonical,387
GW (intra-modal geometry),canonical,184
GW (intra-modal geometry),canonical,282
GW (intra-modal geometry),canonical,113
GW (intra-modal geometry),canonical,261
GW (intra-modal geometry),canonical,395
GW (intra-modal geometry),canonical,30
GW (intra-modal geometry),canonical,375
GW (intra-modal geometry),canonical,379
GW (intra-modal geometry),canonical,170
GW (intra-modal geometry),canonical,193
GW (intra-modal geometry),canonical,8
GW (intra-modal geometry),canonical,101
GW (intra-modal geometry),canonical,160
GW (intra-modal geometry),canonical,74
GW (intra-modal geometry),canonical,184
GW (intra-modal geometry),canonical,247
GW (intra-modal geometry),canonical,180
GW (intra-modal geometry),canonical,98
GW (intra-modal geometry),canonical,153
GW (intra-modal geometry),canonical,53
GW (intra-modal geometry),canonical,118
GW (intra-modal geometry),canonical,372
GW (intra-modal geometry),canonical,375
GW (intra-modal geometry),canonical,203
GW (intra-modal geometry),canonical,332
GW (intra-modal geometry),canonical,179
GW (intra-modal geometry),canonical,208
GW (intra-modal geometry),canonical,85
GW (intra-modal geometry),canonical,21
GW (intra-modal geometry),canonical,19
GW (intra-modal geometry),canonical,175
GW (intra-modal geometry),canonical,219
GW (intra-modal geometry),canonical,203
GW (intra-modal geometry),canonical,221
GW (intra-modal geometry),canonical,23
GW (intra-modal geometry),canonical,257
GW (intra-modal geometry),canonical,161
GW (intra-modal geometry),canonical,220
GW (intra-modal geometry),canonical,162
GW (intra-modal geometry),canonical,27
GW (intra-modal geometry),canonical,19
GW (intra-modal geometry),canonical,207
GW (intra-modal geometry),canonical,187
GW (intra-modal geometry),canonical,308
GW (intra-modal geometry),canonical,315
GW (intra-modal geometry),canonical,287
GW (intra-modal geometry),canonical,237
GW (intra-modal geometry),canonical,105
GW (intra-modal geometry),canonical,331
GW (intra-modal geometry),canonical,26
GW (intra-modal geometry),canonical,312
GW (intra-modal geometry),canonical,22
GW (intra-modal geometry),canonical,68
GW (intra-modal geometry),canonical,121
GW (intra-modal geometry),canonical,201
GW (intra-modal geometry),canonical,391
GW (intra-modal geometry),canonical,146
GW (intra-modal geometry),canonical,377
GW (intra-modal geometry),canonical,380
GW (intra-modal geometry),canonical,133
GW (intra-modal geometry),canonical,97
GW (intra-modal geometry),canonical,48
GW (intra-modal geometry),canonical,96
GW (intra-modal geometry),canonical,214
GW (intra-modal geometry),canonical,313
GW (intra-modal geometry),canonical,115
GW (intra-modal geometry),canonical,91
GW (intra-modal geometry),canonical,71
GW (intra-modal geometry),canonical,219
GW (intra-modal geometry),canonical,253
GW (intra-modal geometry),canonical,138
GW (intra-modal geometry),canonical,139
GW (intra-modal geometry),canonical,184
GW (intra-modal geometry),canonical,151
GW (intra-modal geometry),canonical,27
GW (intra-modal geometry),canonical,122
GW (intra-modal geometry),canonical,65
GW (intra-modal geometry),canonical,391
GW (intra-modal geometry),canonical,228
GW (intra-modal geometry),canonical,271
GW (intra-modal geometry),canonical,192
GW (intra-modal geometry),canonical,195
GW (intra-modal geometry),canonical,298
GW (intra-modal geometry),canonical,26
GW (intra-modal geometry),canonical,328
GW (intra-modal geometry),canonical,69
GW (intra-modal geometry),canonical,366
GW (intra-modal geometry),canonical,196
GW (intra-modal geometry),canonical,21
GW (intra-modal geometry),canonical,235
GW (intra-modal geometry),canonical,288
GW (intra-modal geometry),canonical,316
GW (intra-modal geometry),canonical,219
GW (intra-modal geometry),canonical,357
GW (intra-modal geometry),canonical,164
GW (intra-modal geometry),canonical,169
GW (intra-modal geometry),canonical,13
GW (intra-modal geometry),canonical,89
GW (intra-modal geometry),canonical,62
GW (intra-modal geometry),canonical,97
GW (intra-modal geometry),canonical,298
GW (intra-modal geometry),canonical,167
GW (intra-modal geometry),canonical,35
GW (intra-modal geometry),canonical,162
GW (intra-modal geometry),canonical,290
GW (intra-modal geometry),canonical,17
GW (intra-modal geometry),canonical,244
GW (intra-modal geometry),canonical,342
GW (intra-modal geometry),canonical,307
GW (intra-modal geometry),canonical,30
GW (intra-modal geometry),canonical,108
GW (intra-modal geometry),canonical,205
GW (intra-modal geometry),canonical,171
GW (intra-modal geometry),canonical,252
GW (intra-modal geometry),canonical,114
GW (intra-modal geometry),canonical,194
GW (intra-modal geometry),canonical,238
GW (intra-modal geometry),canonical,144
GW (intra-modal geometry),canonical,28
GW (intra-modal geometry),canonical,289
GW (intra-modal geometry),canonical,35
GW (intra-modal geometry),canonical,15
GW (intra-modal geometry),canonical,142
GW (intra-modal geometry),canonical,77
GW (intra-modal geometry),canonical,189
GW (intra-modal geometry),canonical,119
GW (intra-modal geometry),canonical,159
GW (intra-modal geometry),canonical,297
GW (intra-modal geometry),canonical,149
GW (intra-modal geometry),canonical,209
GW (intra-modal geometry),canonical,279
GW (intra-modal geometry),canonical,15
GW (intra-modal geometry),canonical,332
GW (intra-modal geometry),canonical,39
GW (intra-modal geometry),canonical,273
GW (intra-modal geometry),canonical,334
GW (intra-modal geometry),canonical,188
GW (intra-modal geometry),canonical,165
GW (intra-modal geometry),canonical,170
GW (intra-modal geometry),canonical,161
GW (intra-modal geometry),canonical,353
GW (intra-modal geometry),canonical,54
GW (intra-modal geometry),canonical,218
GW (intra-modal geometry),canonical,215
GW (intra-modal geometry),canonical,55
GW (intra-modal geometry),canonical,248
GW (intra-modal geometry),canonical,348
GW (intra-modal geometry),canonical,335
GW (intra-modal geometry),canonical,27
GW (intra-modal geometry),canonical,310
GW (intra-modal geometry),canonical,177
GW (intra-modal geometry),canonical,342
GW (intra-modal geometry),canonical,358
GW (intra-modal geometry),canonical,234
GW (intra-modal geometry),canonical,189
GW (intra-modal geometry),canonical,300
GW (intra-modal geometry),canonical,245
GW (intra-modal geometry),canonical,95
GW (intra-modal geometry),canonical,116
GW (intra-modal geometry),canonical,346
GW (intra-modal geometry),canonical,144
GW (intra-modal geometry),canonical,121
GW (intra-modal geometry),canonical,16
GW (intra-modal geometry),canonical,106
GW (intra-modal geometry),canonical,6
GW (intra-modal geometry),canonical,78
GW (intra-modal geometry),canonical,300
GW (intra-modal geometry),canonical,229
GW (intra-modal geometry),canonical,17
GW (intra-modal geometry),canonical,80
GW (intra-modal geometry),canonical,50
GW (intra-modal geometry),canonical,122
GW (intra-modal geometry),canonical,24
GW (intra-modal geometry),canonical,349
GW (intra-modal geometry),canonical,171
GW (intra-modal geometry),canonical,17
GW (intra-modal geometry),canonical,300
GW (intra-modal geometry),canonical,395
GW (intra-modal geometry),canonical,82
GW (intra-modal geometry),canonical,287
GW (intra-modal geometry),canonical,223
GW (intra-modal geometry),canonical,228
GW (intra-modal geometry),canonical,221
GW (intra-modal geometry),canonical,38
GW (intra-modal geometry),canonical,344
GW (intra-modal geometry),canonical,70
GW (intra-modal geometry),canonical,216
GW (intra-modal geometry),canonical,104
GW (intra-modal geometry),canonical,307
GW (intra-modal geometry),canonical,246
GW (intra-modal geometry),canonical,86
GW (intra-modal geometry),canonical,287
GW (intra-modal geometry),canonical,157
GW (intra-modal geometry),canonical,217
GW (intra-modal geometry),canonical,203
GW (intra-modal geometry),canonical,27
GW (intra-modal geometry),canonical,298
GW (intra-modal geometry),canonical,178
GW (intra-modal geometry),canonical,121
GW (intra-modal geometry),canonical,59
GW (intra-modal geometry),canonical,169
GW (intra-modal geometry),canonical,73
GW (intra-modal geometry),canonical,24
GW (intra-modal geometry),canonical,263
GW (intra-modal geometry),canonical,34
GW (intra-modal geometry),canonical,393
GW (intra-modal geometry),canonical,240
GW (intra-modal geometry),canonical,244
GW (intra-modal geometry),canonical,290
GW (intra-modal geometry),canonical,32
GW (intra-modal geometry),canonical,194
GW (intra-modal geometry),canonical,25
GW (intra-modal geometry),canonical,320
GW (intra-modal geometry),canonical,96
GW (intra-modal geometry),canonical,81
GW (intra-modal geometry),canonical,351
GW (intra-modal geometry),canonical,86
GW (intra-modal geometry),canonical,206
GW (intra-modal geometry),canonical,21
GW (intra-modal geometry),canonical,310
GW (intra-modal geometry),canonical,204
GW (intra-modal geometry),canonical,11
GW (intra-modal geometry),canonical,58
GW (intra-modal geometry),canonical,83
GW (intra-modal geometry),canonical,122
GW (intra-modal geometry),canonical,27
GW (intra-modal geometry),canonical,284
GW (intra-modal geometry),canonical,51
GW (intra-modal geometry),canonical,15
GW (intra-modal geometry),canonical,40
GW (intra-modal geometry),canonical,149
GW (intra-modal geometry),canonical,29
GW (intra-modal geometry),canonical,8
GW (intra-modal geometry),canonical,212
GW (intra-modal geometry),canonical,17
GW (intra-modal geometry),canonical,325
GW (intra-modal geometry),canonical,26
GW (intra-modal geometry),canonical,103
GW (intra-modal geometry),canonical,187
GW (intra-modal geometry),canonical,272
GW (intra-modal geometry),canonical,135
GW (intra-modal geometry),canonical,219
GW (intra-modal geometry),canonical,237
GW (intra-modal geometry),canonical,211
Raw caption cosine (ceiling),canonical,151
Raw caption cosine (ceiling),canonical,1
Raw caption cosine (ceiling),canonical,12
Raw caption cosine (ceiling),canonical,125
Raw caption cosine (ceiling),canonical,172
Raw caption cosine (ceiling),canonical,47
Raw caption cosine (ceiling),canonical,4
Raw caption cosine (ceiling),canonical,158
Raw caption cosine (ceiling),canonical,82
Raw caption cosine (ceiling),canonical,2
Raw caption cosine (ceiling),canonical,15
Raw caption cosine (ceiling),canonical,1
Raw caption cosine (ceiling),canonical,207
Raw caption cosine (ceiling),canonical,1
Raw caption cosine (ceiling),canonical,102
Raw caption cosine (ceiling),canonical,8
Raw caption cosine (ceiling),canonical,98
Raw caption cosine (ceiling),canonical,80
Raw caption cosine (ceiling),canonical,6
Raw caption cosine (ceiling),canonical,16
Raw caption cosine (ceiling),canonical,143
Raw caption cosine (ceiling),canonical,78
Raw caption cosine (ceiling),canonical,33
Raw caption cosine (ceiling),canonical,2
Raw caption cosine (ceiling),canonical,141
Raw caption cosine (ceiling),canonical,146
Raw caption cosine (ceiling),canonical,3
Raw caption cosine (ceiling),canonical,49
Raw caption cosine (ceiling),canonical,16
Raw caption cosine (ceiling),canonical,271
Raw caption cosine (ceiling),canonical,5
Raw caption cosine (ceiling),canonical,1
Raw caption cosine (ceiling),canonical,29
Raw caption cosine (ceiling),canonical,10
Raw caption cosine (ceiling),canonical,118
Raw caption cosine (ceiling),canonical,3
Raw caption cosine (ceiling),canonical,17
Raw caption cosine (ceiling),canonical,1
Raw caption cosine (ceiling),canonical,19
Raw caption cosine (ceiling),canonical,11
Raw caption cosine (ceiling),canonical,24
Raw caption cosine (ceiling),canonical,297
Raw caption cosine (ceiling),canonical,12
Raw caption cosine (ceiling),canonical,3
Raw caption cosine (ceiling),canonical,123
Raw caption cosine (ceiling),canonical,1
Raw caption cosine (ceiling),canonical,167
Raw caption cosine (ceiling),canonical,25
Raw caption cosine (ceiling),canonical,108
Raw caption cosine (ceiling),canonical,1
Raw caption cosine (ceiling),canonical,24
Raw caption cosine (ceiling),canonical,120
Raw caption cosine (ceiling),canonical,19
Raw caption cosine (ceiling),canonical,216
Raw caption cosine (ceiling),canonical,6
Raw caption cosine (ceiling),canonical,45
Raw caption cosine (ceiling),canonical,311
Raw caption cosine (ceiling),canonical,140
Raw caption cosine (ceiling),canonical,324
Raw caption cosine (ceiling),canonical,74
Raw caption cosine (ceiling),canonical,80
Raw caption cosine (ceiling),canonical,173
Raw caption cosine (ceiling),canonical,188
Raw caption cosine (ceiling),canonical,162
Raw caption cosine (ceiling),canonical,16
Raw caption cosine (ceiling),canonical,258
Raw caption cosine (ceiling),canonical,25
Raw caption cosine (ceiling),canonical,99
Raw caption cosine (ceiling),canonical,141
Raw caption cosine (ceiling),canonical,81
Raw caption cosine (ceiling),canonical,20
Raw caption cosine (ceiling),canonical,39
Raw caption cosine (ceiling),canonical,42
Raw caption cosine (ceiling),canonical,213
Raw caption cosine (ceiling),canonical,82
Raw caption cosine (ceiling),canonical,1
Raw caption cosine (ceiling),canonical,3
Raw caption cosine (ceiling),canonical,348
Raw caption cosine (ceiling),canonical,3
Raw caption cosine (ceiling),canonical,298
Raw caption cosine (ceiling),canonical,300
Raw caption cosine (ceiling),canonical,25
Raw caption cosine (ceiling),canonical,201
Raw caption cosine (ceiling),canonical,95
Raw caption cosine (ceiling),canonical,219
Raw caption cosine (ceiling),canonical,24
Raw caption cosine (ceiling),canonical,48
Raw caption cosine (ceiling),canonical,325
Raw caption cosine (ceiling),canonical,2
Raw caption cosine (ceiling),canonical,166
Raw caption cosine (ceiling),canonical,76
Raw caption cosine (ceiling),canonical,19
Raw caption cosine (ceiling),canonical,316
Raw caption cosine (ceiling),canonical,137
Raw caption cosine (ceiling),canonical,24
Raw caption cosine (ceiling),canonical,21
Raw caption cosine (ceiling),canonical,154
